cityname,rds_div,LCpath,BVpath,n_chkl,n_spp
Victoria,./output/ebird_data/rds_div_bycity/Victoria_div.rds,./output/ESArasters_factor/Victoria.tif,./output/GHSL_builtV/Victoria_builtV.tif,16584,277
Nanaimo,./output/ebird_data/rds_div_bycity/Nanaimo_div.rds,./output/ESArasters_factor/Nanaimo.tif,./output/GHSL_builtV/Nanaimo_builtV.tif,5855,220
Vancouver,./output/ebird_data/rds_div_bycity/Vancouver_div.rds,./output/ESArasters_factor/Vancouver.tif,./output/GHSL_builtV/Vancouver_builtV.tif,38653,302
Abbotsford,./output/ebird_data/rds_div_bycity/Abbotsford_div.rds,./output/ESArasters_factor/Abbotsford.tif,./output/GHSL_builtV/Abbotsford_builtV.tif,3059,195
Lethbridge,./output/ebird_data/rds_div_bycity/Lethbridge_div.rds,./output/ESArasters_factor/Lethbridge.tif,./output/GHSL_builtV/Lethbridge_builtV.tif,2451,218
Calgary,./output/ebird_data/rds_div_bycity/Calgary_div.rds,./output/ESArasters_factor/Calgary.tif,./output/GHSL_builtV/Calgary_builtV.tif,31581,296
Red Deer,./output/ebird_data/rds_div_bycity/Red Deer_div.rds,./output/ESArasters_factor/Red Deer.tif,./output/GHSL_builtV/Red Deer_builtV.tif,1046,193
Edmonton,./output/ebird_data/rds_div_bycity/Edmonton_div.rds,./output/ESArasters_factor/Edmonton.tif,./output/GHSL_builtV/Edmonton_builtV.tif,11948,251
Regina,./output/ebird_data/rds_div_bycity/Regina_div.rds,./output/ESArasters_factor/Regina.tif,./output/GHSL_builtV/Regina_builtV.tif,4132,247
Saskatoon,./output/ebird_data/rds_div_bycity/Saskatoon_div.rds,./output/ESArasters_factor/Saskatoon.tif,./output/GHSL_builtV/Saskatoon_builtV.tif,2877,246
Winnipeg,./output/ebird_data/rds_div_bycity/Winnipeg_div.rds,./output/ESArasters_factor/Winnipeg.tif,./output/GHSL_builtV/Winnipeg_builtV.tif,10741,265
Thunder Bay,./output/ebird_data/rds_div_bycity/Thunder Bay_div.rds,./output/ESArasters_factor/Thunder Bay.tif,./output/GHSL_builtV/Thunder Bay_builtV.tif,1124,198
Detroit,./output/ebird_data/rds_div_bycity/Detroit_div.rds,./output/ESArasters_factor/Detroit.tif,./output/GHSL_builtV/Detroit_builtV.tif,5241,259
